,Product,Date,InefficiencyRaw,InefficiencyWeighted,InefficiencyWeightedOptimal
0,TYG,2021-03-15,6.605940786955133,4.435449913483405,5.503007071480487
1,TYG,2021-03-16,20.10542032056795,13.39396983211201,17.254414132602413
2,TYG,2021-03-17,267.3282920586091,207.37708769028856,299.86736675006756
3,TYG,2021-03-18,27.710971313061503,26.032806505057906,38.2846580074417
4,TYG,2021-03-19,10.918633538572038,5.617903278589866,8.720144398654018
5,TYG,2021-03-21,9.16451374195901,7.333654035386362,8.906157475446374
6,TYG,2021-03-22,5.6136155040326425,4.0933386098655165,5.3021756939769285
7,TYG,2021-03-23,14.219404210425617,13.549552439419433,16.08056796331747
8,TYG,2021-03-24,159.37145332198182,109.32492558598852,145.43091088983212
9,TYG,2021-03-25,38.203348353475114,19.497797492064066,40.801266518999775
10,TYG,2021-03-26,27.80247924418884,14.431755775205275,21.65978510123814
11,TYG,2021-03-28,16.09259622324377,11.346320852053886,15.713774356602192
12,TYG,2021-03-29,14.554017177134316,8.346496023362237,11.51954587403722
13,TYG,2021-03-30,18.773762227816874,10.136359542510517,19.657143880492033
14,TYG,2021-03-31,22.5258746999349,15.30697400985475,23.027106795449217
15,TYG,2021-04-01,18.34768896918315,12.788180426100862,16.433552330846997
16,TYG,2021-04-02,15.52643632303037,7.425569967187518,13.110971958377938
17,TYG,2021-04-04,34.265473254232575,25.007196313627762,36.98385372145225
18,TYG,2021-04-05,184.13405266893926,108.71347896559703,196.11658793129163
19,TYG,2021-04-06,110.19992836354547,54.44601921433331,84.08469112582239
20,TYG,2021-04-07,90.2543389208305,58.09950071213329,97.00365195597854
21,TYG,2021-04-08,97.30566417561263,43.11794107924509,107.30813686720766
22,TYG,2021-04-09,53.904384289968576,31.72829637531972,53.27480030510868
23,TYG,2021-04-11,57.23978609773562,30.435339673184387,46.70086007347273
24,TYG,2021-04-12,199.24589153563832,115.48096511477732,157.5372388769083
25,TYG,2021-04-13,734.6150213000786,277.4806560810639,481.04282109224636
26,TYG,2021-04-14,187.08586731296316,71.30647519699211,129.94822528965682
27,TYG,2021-04-15,117.58611259077047,93.8053999807271,129.05991203778402
28,STF,2021-03-15,306.4034249878893,106.69800048873225,182.55675076144468
29,STF,2021-03-16,53.34951172412654,41.56885584934061,46.66928703291598
30,STF,2021-03-17,6.596010202095297,7.312789189835118,9.505457354001768
31,STF,2021-03-18,3.5924979833819735,4.122223153916755,4.5123639329576894
32,STF,2021-03-19,2.6656090916993738,1.2249805581950983,1.6451947563068579
33,STF,2021-03-21,2.040739828901696,2.07538164042195,2.3154195454278814
34,STF,2021-03-22,1.6793009088011683,1.4952600792664903,2.5319830896067472
35,STF,2021-03-23,1.8446182210196727,2.9249105399011723,3.7618228554673
36,STF,2021-03-24,1.7650567798271657,2.1173288585497234,2.293988144366775
37,STF,2021-03-25,1.9135892788391642,2.033545026434953,2.359908810668132
38,STF,2021-03-26,1.5728092297128573,1.1969073157005232,2.210521671081677
39,STF,2021-03-28,1.5883572838236446,1.3276076744072889,1.4881778374564152
40,STF,2021-03-29,2.3058533996551334,2.062116275900124,2.3280050854522227
41,STF,2021-03-30,3.212334017433624,2.841551359300092,3.484037053083549
42,STF,2021-03-31,3.5650091099398584,4.802443827669053,6.494016871303571
43,STF,2021-04-01,3.175570755784685,3.268228603732155,4.556638652637238
44,STF,2021-04-02,5.592968834510751,4.503320174342616,6.920885665277066
45,STF,2021-04-04,6.513985910815651,6.179870173883925,7.31056355165663
46,STF,2021-04-05,20.9933116216954,11.97470118153645,16.692859699219305
47,STF,2021-04-06,125.86782914792636,138.6488563493933,151.70404383357896
48,STF,2021-04-07,134.35190499439642,69.68156619996898,96.84757296655233
49,STF,2021-04-08,86.0624517338806,72.19250666284097,121.64120004228619
50,STF,2021-04-09,103.4518083438323,128.90609242574385,139.84745302385576
51,STF,2021-04-11,132.79955182115373,79.57544992768642,97.42679208807006
52,STF,2021-04-12,26.97386072746758,26.147657838747232,34.73796304422539
53,STF,2021-04-13,35.49415549643132,49.00370439303407,60.72060958030887
54,STF,2021-04-14,104.46300804027466,96.0956192734708,101.2122184745209
55,STF,2021-04-15,480.56251120049853,388.15149811661956,486.1122579428987
56,FYG,2021-03-15,18.116740701806897,14.329222482776608,15.720324337545168
57,FYG,2021-03-16,6.732021667572966,6.026450687088498,11.329602832701232
58,FYG,2021-03-17,1.2800597558993478,1.1024778068674452,1.7373560861785295
59,FYG,2021-03-18,1.3282967434953716,0.7843426826164567,1.5854599138756074
60,FYG,2021-03-19,1.3884444250139079,0.6606514085499648,1.209495263351124
61,FYG,2021-03-21,1.1338198750634574,1.2301071536763297,1.3668042681016197
62,FYG,2021-03-22,1.1358214718393034,0.7201245613624114,1.0676005078013306
63,FYG,2021-03-23,1.0893112268240916,0.7530912641898501,1.1232038205238193
64,FYG,2021-03-24,1.1500027934548,0.9608453886789926,1.06048329885604
65,FYG,2021-03-25,1.2199055758521058,0.8435139366829916,1.040829872007736
66,FYG,2021-03-26,1.1885650580298328,0.7968052784406131,1.222257793996179
67,FYG,2021-03-28,1.1227720655157256,0.827980963867397,1.1812680695200548
68,FYG,2021-03-29,1.2174254562420042,0.8967620056014682,1.3528650237975803
69,FYG,2021-03-30,1.2916763791347963,0.8867594768792044,1.3644314286255326
70,FYG,2021-03-31,1.1576057522168706,1.0101991321414565,1.3431377926862818
71,FYG,2021-04-01,1.195700038522979,0.9338688195506473,1.3784850963455992
72,FYG,2021-04-02,1.3387903210345256,1.2743330705337998,1.7066420286998605
73,FYG,2021-04-04,1.423179891021216,0.5626500892333441,1.2192591901116316
74,FYG,2021-04-05,1.4564719800893242,0.8328045703239216,1.7265584982900888
75,FYG,2021-04-06,1.4070001316188656,1.0560940193663477,1.241276603259816
76,FYG,2021-04-07,1.1662481084974008,0.879476712209538,1.029179023194362
77,FYG,2021-04-08,1.4553754121640607,0.4960467940326495,1.3002548615152205
78,FYG,2021-04-09,1.2311740426472235,0.66436808429674,1.0659741870895891
79,FYG,2021-04-11,1.5601332689824912,0.5445156054250956,1.289621748470303
80,FYG,2021-04-12,1.3895126052638351,0.6334383909085917,1.04663717638324
81,FYG,2021-04-13,1.176352952025138,0.8114241183220444,1.0058029744477996
82,FYG,2021-04-14,1.6415303857672376,1.4296461032172738,1.7953324501896537
83,FYG,2021-04-15,1.649262725463889,1.3204605369583184,2.273788218953425
